"seq_unique","IGHG1","IGHA1","IGHE","IGHG2","IGHG3","IGHM","NA","IGHG4","IGHA2","IGHD"
"seq1452",1,0,0,0,0,0,0,0,0,0
"seq1453",1,0,0,0,0,0,0,0,0,0
"seq1454",1,0,0,0,0,0,0,0,0,0
"seq1455",1,0,0,0,0,0,0,0,0,0
"seq1456",3,0,0,0,0,0,0,0,0,0
"seq1457",1,0,0,0,0,0,1,0,0,0
"seq1458",1,0,0,0,0,0,0,0,0,0
"seq1459",1,0,0,0,0,0,0,0,0,0
"seq146",1,0,0,0,0,0,0,0,0,0
"seq1460",1,0,0,0,0,0,0,0,0,0
"seq1461",1,0,0,0,0,0,0,0,0,0
"seq1462",1,0,0,0,0,0,0,0,0,0
"seq1463",7,0,0,0,0,0,0,0,0,0
"seq1464",1,0,0,0,0,0,0,0,0,0
"seq1465",0,0,0,0,0,0,1,0,0,0
"seq1466",1,0,0,0,0,0,0,0,0,0
"seq1467",1,0,0,0,0,0,0,0,0,0
